Date,Close/Last,Volume,Open,High,Low
09/30/2022,$134.91,3717212,$137.40,$138.67,$134.615
09/29/2022,$137.79,2280921,$138.39,$138.95,$135.84
09/28/2022,$140.56,5269635,$138.50,$141.18,$136.52
09/27/2022,$137.49,2828818,$139.44,$140.38,$136.10
09/26/2022,$137.45,3808706,$140.04,$141.29,$136.695
09/23/2022,$140.26,3035586,$140.775,$141.96,$138.09
09/22/2022,$143.03,3249602,$148.82,$148.89,$142.465
09/21/2022,$148.71,2599851,$154.67,$154.81,$148.66
09/20/2022,$153.48,1725941,$153.58,$154.59,$152.13
09/19/2022,$155.36,2472633,$151.25,$155.48,$150.70
09/16/2022,$153.08,6527339,$154.08,$154.08,$150.51
09/15/2022,$156.13,2371603,$156.43,$158.79,$155.90
09/14/2022,$156.30,2840430,$156.18,$157.555,$153.50
09/13/2022,$155.35,3519831,$158.14,$159.81,$154.84
09/12/2022,$162.45,4146273,$159.50,$163.45,$159.34
09/09/2022,$158.44,3543560,$154.45,$158.59,$154.30
09/08/2022,$153.52,3399245,$150.92,$153.69,$149.515
09/07/2022,$152.25,1766424,$148.40,$152.70,$148.38
09/06/2022,$148.60,2797699,$150.00,$151.31,$146.55
09/02/2022,$149.79,2028573,$153.48,$153.98,$148.93
09/01/2022,$151.11,2425163,$150.82,$151.37,$147.65
08/31/2022,$152.00,3271569,$155.56,$156.37,$151.84
08/30/2022,$154.66,2104499,$155.64,$156.12,$152.90
08/29/2022,$154.54,2693612,$155.88,$156.51,$154.41
08/26/2022,$157.31,2373705,$163.21,$163.59,$157.19
08/25/2022,$162.23,1936300,$160.00,$162.33,$158.78
08/24/2022,$159.13,2029412,$157.03,$159.56,$156.29
08/23/2022,$157.33,2885214,$158.00,$159.60,$157.20
08/22/2022,$157.70,1969338,$158.98,$159.19,$156.98
08/19/2022,$162.24,1895447,$163.50,$163.93,$162.01
08/18/2022,$164.65,1397717,$163.93,$164.99,$163.335
08/17/2022,$163.90,1804125,$163.30,$164.48,$162.20
08/16/2022,$165.35,1876086,$165.00,$165.98,$163.96
08/15/2022,$165.40,1852804,$164.28,$166.06,$163.76
08/12/2022,$165.84,1942595,$164.47,$166.00,$163.28
08/11/2022,$162.99,1968206,$164.36,$164.9239,$162.18
08/10/2022,$162.44,3225372,$161.77,$164.21,$161.64
08/09/2022,$158.80,2997862,$157.64,$158.94,$157.27
08/08/2022,$157.28,3080917,$159.00,$160.79,$156.94
08/05/2022,$157.51,2513764,$156.48,$158.039,$156.00
08/04/2022,$156.87,3693423,$156.02,$157.71,$155.26
08/03/2022,$155.43,2609272,$154.07,$156.04,$153.31
08/02/2022,$151.60,2563111,$152.02,$153.30,$150.84
08/01/2022,$153.33,2295687,$152.84,$154.77,$151.802
07/29/2022,$154.02,3198134,$152.37,$154.38,$151.29
07/28/2022,$152.14,3587931,$151.76,$152.65,$147.54
07/27/2022,$151.63,5029067,$151.60,$152.72,$147.27
07/26/2022,$149.83,2812658,$152.73,$153.50,$148.84
07/25/2022,$153.79,4213808,$154.25,$154.78,$151.2134
07/22/2022,$153.01,9298440,$159.01,$160.88,$152.62
07/21/2022,$150.18,4683039,$148.21,$150.33,$146.445
07/20/2022,$148.93,2802253,$146.87,$149.10,$146.37
07/19/2022,$147.78,3372275,$144.40,$147.93,$144.40
07/18/2022,$142.33,3330344,$144.34,$146.05,$141.52
07/15/2022,$142.48,3296764,$139.71,$143.11,$138.87
07/14/2022,$136.48,4600268,$135.70,$137.24,$134.12
07/13/2022,$139.40,2753776,$136.84,$140.02,$136.36
07/12/2022,$139.18,4047613,$137.53,$141.89,$137.0601
07/11/2022,$140.58,2377876,$140.47,$142.31,$139.835
07/08/2022,$141.76,3631943,$141.74,$143.11,$139.72
07/07/2022,$141.03,4258109,$140.18,$142.17,$139.15
